1524,1180
422,52
45,1096
734,1753
645,86
1523,1824
1732,1446
1881,1584
411,1349
1713,1629
428,453
488,1482
1263,1907
1375,458
1588,273
844,1193
1684,1991
1526,1708
363,1823
1736,1747
844,106
569,558
178,2000
1950,1381
14,1439
1978,1356
373,996
1891,153
701,1667
900,1353
894,935
1678,1827
1855,1859
218,746
1903,862
526,1158
674,403
1691,948
1562,1106
1285,360
859,186
348,698
878,748
811,1685
913,1901
1061,1164
1524,1927
698,171
645,659
1986,9
278,1433
217,1419
1877,1206
1140,1453
10,1467
1200,23
1424,1955
1735,721
1696,1802
548,479
274,902
1352,473
1298,1209
210,399
411,1702
1172,1992
1450,1471
984,672
1519,1629
786,1563
1962,1376
1323,303
874,716
212,1110
1273,2000
454,265
1821,1596
678,614
1488,1624
1411,500
312,12
1264,550
357,1855
1084,1848
1317,1705
1796,1458
757,1011
1125,33
676,832
185,1120
184,531
2000,1829
156,623
645,1642
514,1878
676,1960
61,373
1669,1311
262,1645
947,352
1888,1479
1884,1290
1355,923
1627,1989
203,1138
696,1756
1948,1716
505,1837
1787,1431
111,83
1729,402
977,1655
1822,1919
345,1278
117,1496
135,1496
1518,339
926,508
1598,230
1947,761
1378,1034
708,962
184,869
1579,873
261,1354
70,1945
311,715
362,659
825,828
413,452
338,1556
1052,1134
433,798
155,1769
1318,131
1370,32
874,750
24,1063
799,1819
1148,1438
1981,1277
1128,527
89,1054
988,704
33,1109
1215,560
982,1029
194,1652
902,852
1020,1477
903,451
1217,1681
986,1682
805,1517
1314,527
1758,1174
1270,902
211,18
1211,1455
1737,338
952,45
1707,1070
531,821
65,1004
105,659
1699,1536
909,796
697,865
286,1146
754,1981
1634,1334
568,1652
1644,1142
407,1339
1597,1040
317,1931
1210,117
605,710
745,1096
294,1014
1411,197
1669,1416
1772,1854
1262,54
160,297
290,1776
131,760
792,99
879,1656
1762,1907
1623,165
1972,819
413,639
1770,572
1663,1009
1866,1205
312,161
1264,111
920,1800
552,1059
1167,1197
622,362
1408,764
1578,349
257,465
1735,1067
1808,67
1888,212
669,1934
18,399
1463,166
1646,861
1349,1229
825,362
241,651
977,139
683,815
228,1616
690,1882
1001,1151
670,353
848,257
1063,1485
1831,835
118,676
1075,708
1934,1031
1404,1039
559,505
1422,1201
1035,132
1994,477
1530,164
1005,176
590,522
358,1225
1255,1768
1778,1757
1377,527
1820,1105
914,1366
1375,1383
1145,218
633,880
805,1693
1986,1250
1254,1060
260,324
1573,806
596,1316
1574,226
1127,557
346,1808
77,1234
955,1550
813,1113
1543,554
1211,680
484,453
148,922
600,220
987,1618
1779,1313
1891,1981
870,1789
416,529
875,185
1029,342
1991,116
1345,1432
1467,728
1608,1602
23,1330
867,254
1038,1750
730,1915
725,1420
28,1503
986,1085
280,1794
541,421
63,1586
1076,1447
1399,947
1782,741
1066,5
262,701
1207,500
76,14
180,852
1665,1019
69,1901
609,1209
1125,292
1865,917
1739,1565
1010,1694
1393,510
1452,1806
1978,1730
398,1456
71,1740
1837,883
696,321
1802,1349
589,1491
1800,1780
1043,8
1882,1441
593,1586
602,279
589,1288
682,1988
1796,261
1173,903
1215,1061
1408,1137
1224,796
45,1974
1825,1388
1211,1605
386,1378
1210,364
1269,688
598,1978
502,541
370,1910
689,1737
1184,1459
816,1556
883,293
1969,1421
1293,546
694,1459
982,1091
101,549
130,13
1406,1368
126,1985
475,956
1637,1922
1875,1004
0,1828
1588,387
1075,30
348,1326
1518,1480
1120,475
908,1899
1085,1701
1088,240
1767,1300
375,311
842,1884
1279,1880
1591,1727
208,1005
387,1901
476,68
1733,765
1285,361
191,481
676,995
388,84
445,526
102,188
157,1392
905,923
482,930
1042,1799
850,1729
1407,1560
640,1625
56,842
573,740
211,91
29,779
21,575
1995,1649
1346,230
1587,418
1193,81
1401,1072
915,989
738,1767
1850,1603
1816,1822
800,1237
1716,1398
1116,719
444,427
82,1768
934,266
1665,630
532,1350
1222,1720
1959,750
437,1026
1572,1382
1400,1720
1793,398
1180,1042
667,1144
1102,608
32,1911
780,1661
235,1127
1890,227
374,1959
31,1351
415,584
1583,146
1644,1094
910,448
1955,1795
1062,884
337,1401
319,56
1748,1277
1429,446
442,1033
1377,700
788,672
13,1526
504,1980
153,1036
1149,392
394,897
1023,351
655,1511
997,171
1987,1861
1139,1765
635,1219
69,1799
3,866
343,1990
435,1077
1581,359
830,397
618,403
1607,727
434,1744
1481,588
119,1755
1989,375
1754,313
1991,1408
1040,1869
1578,307
129,1396
1059,1608
210,917
1919,1681
1794,128
1864,1984
1001,1722
492,626
1397,1760
1909,858
1265,1123
868,911
1107,1460
1939,1587
1174,1846
1843,1741
1318,141
868,44
497,1987
27,816
1213,1390
1932,1330
1542,36
1243,740
769,336
1857,1348
53,1461
1132,209
303,100
184,1238
1439,1428
1747,1202
800,1707
1122,454
1621,986
1271,52
667,1490
1836,1387
1297,482
705,711
300,1790
1485,548
219,1528
693,1603
909,170
967,469
1949,33
1715,278
1230,818
580,1991
1462,761
1340,86
616,701
1287,1680
1655,1138
1202,1821
1354,1478
1345,756
1879,1490
1723,897
1419,714
465,1442
459,1089
1108,651
140,1153
95,1878
1721,1650
909,1021
1566,257
1439,1351
23,906
1481,111
1871,1942
595,263
702,14
1057,1978
350,211
1185,2000
909,373
475,1781
1318,745
966,512
1834,1706
538,1943
458,692
1147,1120
801,1051
1219,881
1072,1157
1354,413
1366,709
1384,641
1233,1116
1212,186
1608,568
324,563
619,1776
983,1925
1068,427
1520,486
538,1199
1296,29
642,43
1085,1841
196,1113
706,175
444,821
126,1455
1276,1986
868,1241
830,854
1152,975
1485,76
1053,1840
1389,774
1307,1942
140,1431
1967,1426
524,1709
190,1115
1709,1847
565,1058
748,720
733,296
1515,1352
550,1250
1629,1734
1924,1275
1854,344
1934,246
501,1988
1337,153
1086,1814
1845,1095
1938,902
1736,419
1883,716
1131,996
977,1451
1056,140
401,1055
1902,763
1534,1875
412,434
1391,1339
86,65
1313,895
69,987
808,867
1817,1364
1165,854
1042,216
1167,1960
1219,1731
1256,1794
1883,1861
105,1491
1659,1591
1101,136
979,14
1586,528
794,720
1393,951
1673,1741
1056,780
870,1520
1284,268
1648,298
111,1330
1951,1511
633,1302
58,1110
1753,472
878,1416
1379,1894
1437,1228
1041,439
1224,1757
1495,1266
411,165
1883,1521
1899,180
688,115
1129,864
1348,641
937,1435
584,742
1873,1719
1994,1587
1219,1465
777,1651
1214,1109
594,1951
722,1123
674,408
981,1603
251,554
487,323
216,1257
652,912
399,793
1276,1902
1662,426
1708,443
1309,621
1762,770
766,1117
342,1174
1821,415
1125,400
1334,617
1712,644
1352,746
679,1310
1713,157
1585,1708
1761,240
1074,890
137,9
149,1304
1071,897
518,155
646,1935
1998,1737
293,1647
480,747
1031,1670
1492,619
1647,1442
571,1737
797,1032
1957,870
1269,505
1609,698
388,742
924,414
1160,1624
1124,1432
1247,1512
1884,1575
1960,1699
187,1194
25,1073
381,1155
1090,1588
1805,600
1996,1171
1873,156
1443,1380
1595,800
1584,1897
906,1138
278,657
440,1371
1894,1361
294,1345
67,554
1803,1647
1520,1938
1065,586
378,1881
1671,654
1567,565
425,943
1788,290
1843,1935
171,1208
115,103
1026,576
1352,975
296,123
738,1055
736,435
272,1678
1767,1981
642,305
1367,776
526,87
1097,468
1255,269
854,317
1940,772
1016,548
1227,1369
1868,1890
472,314
294,742
1069,246
306,1982
367,214
1870,854
321,1994
1022,1017
1605,1809
894,1421
1012,509
646,1940
1695,695
1414,892
248,1049
1657,1299
965,1666
1446,550
1915,881
631,894
204,698
1382,649
454,1111
1609,449
1768,115
875,128
755,679
447,1897
1803,445
1346,476
395,1926
516,1389
530,1358
390,1976
347,1962
1894,305
1900,1000
743,1916
910,1493
1421,108
1225,1435
1833,1848
707,1100
407,531
195,1594
1298,510
350,940
1248,606
1897,1289
1522,1804
1256,254
1068,204
1947,52
1578,1303
887,1767
1202,851
1397,729
1249,5
724,1573
118,542
1397,789
1282,512
1181,1877
1940,1954
763,1937
1859,285
1735,1649
1382,335
314,245
875,1842
371,1065
950,1701
172,291
704,592
1513,1392
548,1589
